,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
416,38,No,Travel_Frequently,1490,Research & Development,2,College,Life Sciences,1,556,Very High,Male,42,High,1,Laboratory Technician,Very High,Married,1702,12106,1,Y,Yes,23,Outstanding,High,80,1,1,3,Better,1,0,0,0
418,26,No,Travel_Rarely,1349,Research & Development,23,Bachelor,Life Sciences,1,560,Low,Female,90,High,1,Research Scientist,Very High,Divorced,2886,3032,1,Y,No,22,Outstanding,Medium,80,2,3,3,Bad,3,2,0,2
419,30,No,Non-Travel,1400,Research & Development,3,Bachelor,Life Sciences,1,562,High,Male,53,High,1,Laboratory Technician,Very High,Married,2097,16734,4,Y,No,15,Excellent,High,80,1,9,3,Bad,5,3,1,4
421,29,Yes,Travel_Rarely,408,Research & Development,25,Doctor,Technical Degree,1,565,High,Female,71,Medium,1,Research Scientist,Medium,Married,2546,18300,5,Y,No,16,Excellent,Medium,80,0,6,2,Best,2,2,1,1
422,19,Yes,Travel_Rarely,489,Human Resources,2,College,Technical Degree,1,566,Low,Male,52,Medium,1,Human Resources,Very High,Single,2564,18437,1,Y,No,12,Excellent,High,80,0,1,3,Best,1,0,0,0
423,30,No,Non-Travel,1398,Sales,22,Master,Other,1,567,High,Female,69,High,3,Sales Executive,Low,Married,8412,2890,0,Y,No,11,Excellent,High,80,0,10,3,Better,9,8,7,8
426,30,No,Non-Travel,1116,Research & Development,2,Bachelor,Medical,1,571,High,Female,49,High,1,Laboratory Technician,Very High,Single,2564,7181,0,Y,No,14,Excellent,High,80,0,12,2,Good,11,7,6,7
430,35,No,Travel_Rarely,144,Research & Development,22,Bachelor,Life Sciences,1,577,Very High,Male,46,Low,1,Laboratory Technician,High,Single,4230,19225,0,Y,No,15,Excellent,High,80,0,6,2,Better,5,4,4,3
431,54,No,Travel_Rarely,548,Research & Development,8,Master,Life Sciences,1,578,High,Female,42,High,2,Laboratory Technician,High,Single,3780,23428,7,Y,No,11,Excellent,High,80,0,19,3,Better,1,0,0,0
432,34,No,Travel_Rarely,1303,Research & Development,2,Master,Life Sciences,1,579,Very High,Male,62,Medium,1,Research Scientist,High,Divorced,2768,8416,3,Y,No,12,Excellent,High,80,1,14,3,Better,7,3,5,7
433,46,No,Travel_Rarely,1125,Sales,10,Bachelor,Marketing,1,580,High,Female,94,Medium,3,Sales Executive,Very High,Married,9071,11563,2,Y,Yes,19,Excellent,High,80,1,15,3,Better,3,2,1,2
437,30,No,Travel_Rarely,413,Sales,7,Below College,Marketing,1,585,Very High,Male,57,High,1,Sales Representative,Medium,Single,2983,18398,0,Y,No,14,Excellent,Low,80,0,4,3,Better,3,2,1,2
438,35,No,Travel_Rarely,1276,Research & Development,16,Bachelor,Life Sciences,1,586,Very High,Male,72,High,3,Healthcare Representative,High,Married,7632,14295,4,Y,Yes,12,Excellent,High,80,0,10,2,Better,8,7,0,0
439,31,Yes,Travel_Frequently,534,Research & Development,20,Bachelor,Life Sciences,1,587,Low,Male,66,High,3,Healthcare Representative,High,Married,9824,22908,3,Y,No,12,Excellent,Low,80,0,12,2,Better,1,0,0,0
441,42,No,Travel_Frequently,1474,Research & Development,5,College,Other,1,591,Medium,Male,97,High,1,Laboratory Technician,High,Married,2093,9260,4,Y,No,17,Excellent,Very High,80,1,8,4,Better,2,2,2,0
442,36,No,Non-Travel,635,Sales,10,Master,Medical,1,592,Medium,Male,32,High,3,Sales Executive,Very High,Single,9980,15318,1,Y,No,14,Excellent,Very High,80,0,10,3,Good,10,3,9,7
443,22,Yes,Travel_Frequently,1368,Research & Development,4,Below College,Technical Degree,1,593,High,Male,99,Medium,1,Laboratory Technician,High,Single,3894,9129,5,Y,No,16,Excellent,High,80,0,4,3,Better,2,2,1,2
444,48,No,Travel_Rarely,163,Sales,2,Doctor,Marketing,1,595,Medium,Female,37,High,2,Sales Executive,Very High,Married,4051,19658,2,Y,No,14,Excellent,Low,80,1,14,2,Better,9,7,6,7
446,41,No,Non-Travel,267,Sales,10,College,Life Sciences,1,599,Very High,Male,56,High,2,Sales Executive,Very High,Single,6230,13430,7,Y,No,14,Excellent,Very High,80,0,16,3,Better,14,3,1,10
449,39,No,Travel_Frequently,443,Research & Development,8,Below College,Life Sciences,1,602,High,Female,48,High,1,Laboratory Technician,High,Married,3755,17872,1,Y,No,11,Excellent,Low,80,1,8,3,Better,8,3,0,7
450,31,No,Travel_Rarely,828,Sales,2,Below College,Life Sciences,1,604,Medium,Male,77,High,2,Sales Executive,Very High,Single,6582,8346,4,Y,Yes,13,Excellent,High,80,0,10,2,Best,6,5,0,5
452,45,No,Travel_Rarely,561,Sales,2,Bachelor,Other,1,606,Very High,Male,61,High,2,Sales Executive,Medium,Married,4805,16177,0,Y,No,19,Excellent,Medium,80,1,9,3,Best,8,7,3,7
453,26,Yes,Travel_Frequently,426,Human Resources,17,Master,Life Sciences,1,608,Medium,Female,58,High,1,Human Resources,High,Divorced,2741,22808,0,Y,Yes,11,Excellent,Medium,80,1,8,2,Good,7,7,1,0
454,29,No,Travel_Rarely,232,Research & Development,19,Bachelor,Technical Degree,1,611,Very High,Male,34,High,2,Manufacturing Director,Very High,Divorced,4262,22645,4,Y,No,12,Excellent,Medium,80,2,8,2,Best,3,2,1,2
457,18,Yes,Travel_Frequently,1306,Sales,5,Bachelor,Marketing,1,614,Medium,Male,69,High,1,Sales Representative,Medium,Single,1878,8059,1,Y,Yes,14,Excellent,Very High,80,0,0,3,Better,0,0,0,0
459,41,No,Non-Travel,509,Research & Development,2,Master,Other,1,616,Low,Female,62,Medium,2,Healthcare Representative,High,Single,6811,2112,2,Y,Yes,17,Excellent,Low,80,0,10,3,Better,8,7,0,7
461,35,No,Travel_Rarely,195,Sales,1,Bachelor,Medical,1,620,Low,Female,80,High,2,Sales Executive,High,Single,4859,6698,1,Y,No,16,Excellent,Very High,80,0,5,3,Better,5,4,0,3
462,34,No,Travel_Rarely,258,Sales,21,Master,Life Sciences,1,621,Very High,Male,74,Very High,2,Sales Executive,Very High,Single,5337,19921,1,Y,No,12,Excellent,Very High,80,0,10,3,Better,10,7,5,7
463,26,Yes,Travel_Rarely,471,Research & Development,24,Bachelor,Technical Degree,1,622,High,Male,66,Low,1,Laboratory Technician,Very High,Single,2340,23213,1,Y,Yes,18,Excellent,Medium,80,0,1,3,Bad,1,0,0,0
464,37,No,Travel_Rarely,799,Research & Development,1,Bachelor,Technical Degree,1,623,Medium,Female,59,High,3,Manufacturing Director,Very High,Single,7491,23848,4,Y,No,17,Excellent,Very High,80,0,12,3,Best,6,5,1,2
468,52,No,Travel_Rarely,956,Research & Development,6,College,Technical Degree,1,630,Very High,Male,78,High,2,Research Scientist,Low,Divorced,5577,22087,3,Y,Yes,12,Excellent,Medium,80,2,18,3,Better,10,9,6,9
469,32,Yes,Non-Travel,1474,Sales,11,Master,Other,1,631,Very High,Male,60,Very High,2,Sales Executive,High,Married,4707,23914,8,Y,No,12,Excellent,Very High,80,0,6,2,Better,4,2,1,2
470,24,No,Travel_Frequently,535,Sales,24,Bachelor,Medical,1,632,Very High,Male,38,High,1,Sales Representative,Very High,Married,2400,5530,0,Y,No,13,Excellent,High,80,2,3,3,Better,2,2,2,1
471,38,No,Travel_Rarely,1495,Research & Development,10,Bachelor,Medical,1,634,High,Female,76,High,2,Healthcare Representative,High,Married,9824,22174,3,Y,No,19,Excellent,High,80,1,18,4,Better,1,0,0,0
472,37,No,Travel_Rarely,446,Research & Development,1,Master,Life Sciences,1,635,Medium,Female,65,High,2,Manufacturing Director,Medium,Married,6447,15701,6,Y,No,12,Excellent,Medium,80,1,8,2,Good,6,5,4,3
474,24,No,Travel_Rarely,691,Research & Development,23,Bachelor,Medical,1,639,Medium,Male,89,Very High,1,Research Scientist,Very High,Married,2725,21630,1,Y,Yes,11,Excellent,Medium,80,2,6,3,Better,6,5,1,4
476,24,No,Travel_Rarely,823,Research & Development,17,College,Other,1,643,Very High,Male,94,Medium,1,Laboratory Technician,Medium,Married,2127,9100,1,Y,No,21,Outstanding,Very High,80,1,1,2,Better,1,0,0,0
478,25,No,Travel_Rarely,622,Sales,13,Below College,Medical,1,645,Medium,Male,40,High,1,Sales Representative,High,Married,2096,26376,1,Y,No,11,Excellent,High,80,0,7,1,Better,7,4,0,6
479,24,Yes,Travel_Frequently,1287,Research & Development,7,Bachelor,Life Sciences,1,647,Low,Female,55,High,1,Laboratory Technician,High,Married,2886,14168,1,Y,Yes,16,Excellent,Very High,80,1,6,4,Better,6,3,1,2
480,30,Yes,Travel_Frequently,448,Sales,12,Master,Life Sciences,1,648,Medium,Male,74,Medium,1,Sales Representative,Low,Married,2033,14470,1,Y,No,18,Excellent,High,80,1,1,2,Best,1,0,0,0
481,34,No,Travel_Rarely,254,Research & Development,1,College,Life Sciences,1,649,Medium,Male,83,Medium,1,Research Scientist,Very High,Married,3622,22794,1,Y,Yes,13,Excellent,Very High,80,1,6,3,Better,6,5,1,3
482,31,Yes,Travel_Rarely,1365,Sales,13,Master,Medical,1,650,Medium,Male,46,High,2,Sales Executive,Low,Divorced,4233,11512,2,Y,No,17,Excellent,High,80,0,9,2,Bad,3,1,1,2
483,35,No,Travel_Rarely,538,Research & Development,25,College,Other,1,652,Low,Male,54,Medium,2,Laboratory Technician,Very High,Single,3681,14004,4,Y,No,14,Excellent,Very High,80,0,9,3,Better,3,2,0,2
484,31,No,Travel_Rarely,525,Sales,6,Master,Medical,1,653,Low,Male,66,Very High,2,Sales Executive,Very High,Divorced,5460,6219,4,Y,No,22,Outstanding,Very High,80,2,13,4,Best,7,7,5,7
486,37,No,Travel_Rarely,558,Sales,2,Bachelor,Marketing,1,656,Very High,Male,75,High,2,Sales Executive,High,Married,9602,3010,4,Y,Yes,11,Excellent,High,80,1,17,3,Good,3,0,1,0
488,42,No,Travel_Rarely,622,Research & Development,2,Master,Life Sciences,1,659,High,Female,81,High,2,Healthcare Representative,Very High,Married,4089,5718,1,Y,No,13,Excellent,Medium,80,2,10,4,Better,10,2,2,2
490,38,No,Travel_Rarely,362,Research & Development,1,Below College,Life Sciences,1,662,High,Female,43,High,1,Research Scientist,Low,Single,2619,14561,3,Y,No,17,Excellent,Very High,80,0,8,3,Good,0,0,0,0
491,43,No,Travel_Frequently,1001,Research & Development,9,Doctor,Medical,1,663,Very High,Male,72,High,2,Laboratory Technician,High,Divorced,5679,19627,3,Y,Yes,13,Excellent,Medium,80,1,10,3,Better,8,7,4,7
493,44,No,Travel_Rarely,1112,Human Resources,1,Master,Life Sciences,1,665,Low,Female,50,Medium,2,Human Resources,High,Single,5985,26894,4,Y,No,11,Excellent,Medium,80,0,10,1,Best,2,2,0,2
494,34,No,Travel_Rarely,204,Sales,14,Bachelor,Technical Degree,1,666,High,Female,31,High,1,Sales Representative,High,Divorced,2579,2912,1,Y,Yes,18,Excellent,Very High,80,2,8,3,Better,8,2,0,6
495,27,Yes,Travel_Rarely,1420,Sales,2,Below College,Marketing,1,667,High,Male,85,High,1,Sales Representative,Low,Divorced,3041,16346,0,Y,No,11,Excellent,Medium,80,1,5,3,Better,4,3,0,2
496,21,No,Travel_Rarely,1343,Sales,22,Below College,Technical Degree,1,669,High,Male,49,High,1,Sales Representative,High,Single,3447,24444,1,Y,No,11,Excellent,High,80,0,3,2,Better,3,2,1,2
498,22,No,Travel_Rarely,604,Research & Development,6,Below College,Medical,1,675,Low,Male,69,High,1,Research Scientist,High,Married,2773,12145,0,Y,No,20,Outstanding,Very High,80,0,3,3,Better,2,2,2,2
499,33,No,Travel_Rarely,1216,Sales,8,Master,Marketing,1,677,High,Male,39,High,2,Sales Executive,High,Divorced,7104,20431,0,Y,No,12,Excellent,Very High,80,0,6,3,Better,5,0,1,2
500,32,No,Travel_Rarely,646,Research & Development,9,Master,Life Sciences,1,679,Low,Female,92,High,2,Research Scientist,Very High,Married,6322,18089,1,Y,Yes,12,Excellent,Very High,80,1,6,2,Good,6,4,0,5
501,30,No,Travel_Frequently,160,Research & Development,3,Bachelor,Medical,1,680,High,Female,71,High,1,Research Scientist,High,Divorced,2083,22653,1,Y,No,20,Outstanding,High,80,1,1,2,Better,1,0,0,0
502,53,No,Travel_Rarely,238,Sales,1,Below College,Medical,1,682,Very High,Female,34,High,2,Sales Executive,Low,Single,8381,7507,7,Y,No,20,Outstanding,Very High,80,0,18,2,Best,14,7,8,10
503,34,No,Travel_Rarely,1397,Research & Development,1,Doctor,Life Sciences,1,683,Medium,Male,42,High,1,Research Scientist,Very High,Married,2691,7660,1,Y,No,12,Excellent,Very High,80,1,10,4,Good,10,9,8,8
504,45,Yes,Travel_Frequently,306,Sales,26,Master,Life Sciences,1,684,Low,Female,100,High,2,Sales Executive,Low,Married,4286,5630,2,Y,No,14,Excellent,Very High,80,2,5,4,Better,1,1,0,0
505,26,No,Travel_Rarely,991,Research & Development,6,Bachelor,Life Sciences,1,686,High,Female,71,High,1,Laboratory Technician,Very High,Married,2659,17759,1,Y,Yes,13,Excellent,High,80,1,3,2,Better,3,2,0,2
506,37,No,Travel_Rarely,482,Research & Development,3,Bachelor,Other,1,689,High,Male,36,High,3,Manufacturing Director,High,Married,9434,9606,1,Y,No,15,Excellent,High,80,1,10,2,Better,10,7,7,8
508,35,No,Travel_Rarely,1017,Research & Development,6,Master,Life Sciences,1,691,Medium,Male,82,Low,2,Research Scientist,Very High,Single,6646,19368,1,Y,No,13,Excellent,Medium,80,0,17,3,Better,17,11,11,8
509,33,No,Travel_Frequently,1296,Research & Development,6,Bachelor,Life Sciences,1,692,High,Male,30,High,2,Healthcare Representative,Very High,Divorced,7725,5335,3,Y,No,23,Outstanding,High,80,1,15,2,Bad,13,11,4,7
510,54,No,Travel_Rarely,397,Human Resources,19,Master,Medical,1,698,High,Male,88,High,3,Human Resources,Medium,Married,10725,6729,2,Y,No,15,Excellent,High,80,1,16,1,Best,9,7,7,1
511,36,No,Travel_Rarely,913,Research & Development,9,College,Medical,1,699,Medium,Male,48,Medium,2,Manufacturing Director,Medium,Divorced,8847,13934,2,Y,Yes,11,Excellent,High,80,1,13,2,Better,3,2,0,2
514,33,Yes,Travel_Frequently,1076,Research & Development,3,Bachelor,Life Sciences,1,702,Low,Male,70,High,1,Research Scientist,Low,Single,3348,3164,1,Y,Yes,11,Excellent,Low,80,0,10,3,Better,10,8,9,7
515,35,No,Non-Travel,727,Research & Development,3,Bachelor,Life Sciences,1,704,High,Male,41,Medium,1,Laboratory Technician,High,Married,1281,16900,1,Y,No,18,Excellent,High,80,2,1,3,Better,1,0,0,0
516,23,No,Travel_Rarely,885,Research & Development,4,Bachelor,Medical,1,705,Low,Male,58,Very High,1,Research Scientist,Low,Married,2819,8544,2,Y,No,16,Excellent,Low,80,1,5,3,Best,3,2,0,2
517,25,No,Travel_Rarely,810,Sales,8,Bachelor,Life Sciences,1,707,Very High,Male,57,Very High,2,Sales Executive,Medium,Married,4851,15678,0,Y,No,22,Outstanding,High,80,1,4,4,Better,3,2,1,2
518,38,No,Travel_Rarely,243,Sales,7,Master,Marketing,1,709,Very High,Female,46,Medium,2,Sales Executive,Very High,Single,4028,7791,0,Y,No,20,Outstanding,Low,80,0,8,2,Better,7,7,0,5
520,48,No,Travel_Rarely,817,Sales,2,Below College,Marketing,1,712,Medium,Male,56,Very High,2,Sales Executive,Medium,Married,8120,18597,3,Y,No,12,Excellent,Very High,80,0,12,3,Better,2,2,2,2
521,27,No,Travel_Frequently,1410,Sales,3,Below College,Medical,1,714,Very High,Female,71,Very High,2,Sales Executive,Very High,Divorced,4647,16673,1,Y,Yes,20,Outstanding,Medium,80,2,6,3,Better,6,5,0,4
522,37,No,Travel_Rarely,1225,Research & Development,10,College,Life Sciences,1,715,Very High,Male,80,Very High,1,Research Scientist,Very High,Single,4680,15232,3,Y,No,17,Excellent,Low,80,0,4,2,Better,1,0,0,0
524,34,No,Travel_Rarely,1442,Research & Development,9,Bachelor,Medical,1,717,Very High,Female,46,Medium,3,Healthcare Representative,Medium,Single,8621,17654,1,Y,No,14,Excellent,Medium,80,0,9,3,Best,8,7,7,7
526,39,No,Travel_Rarely,408,Research & Development,2,Master,Technical Degree,1,721,Very High,Female,80,Medium,2,Healthcare Representative,High,Single,4553,20978,1,Y,No,11,Excellent,Low,80,0,20,4,Better,20,7,11,10
527,32,No,Travel_Rarely,929,Sales,10,Bachelor,Marketing,1,722,Very High,Male,55,High,2,Sales Executive,Very High,Single,5396,21703,1,Y,No,12,Excellent,Very High,80,0,10,2,Good,10,7,0,8
528,50,Yes,Travel_Frequently,562,Sales,8,College,Technical Degree,1,723,Medium,Male,50,High,2,Sales Executive,High,Married,6796,23452,3,Y,Yes,14,Excellent,Low,80,1,18,4,Better,4,3,1,3
529,38,No,Travel_Rarely,827,Research & Development,1,Master,Life Sciences,1,724,Medium,Female,33,Very High,2,Healthcare Representative,Very High,Single,7625,19383,0,Y,No,13,Excellent,High,80,0,10,4,Good,9,7,1,8
530,27,No,Travel_Rarely,608,Research & Development,1,College,Life Sciences,1,725,High,Female,68,High,3,Manufacturing Director,Low,Married,7412,6009,1,Y,No,11,Excellent,Very High,80,0,9,3,Better,9,7,0,7
532,47,No,Travel_Rarely,703,Sales,14,Master,Marketing,1,728,Very High,Male,42,High,2,Sales Executive,Low,Single,4960,11825,2,Y,No,12,Excellent,Very High,80,0,20,2,Better,7,7,1,7
533,40,No,Travel_Frequently,580,Sales,5,Master,Life Sciences,1,729,Very High,Male,48,Medium,3,Sales Executive,Low,Married,10475,23772,5,Y,Yes,21,Outstanding,High,80,1,20,2,Better,18,13,1,12
536,60,No,Travel_Rarely,1179,Sales,16,Master,Marketing,1,732,Low,Male,84,High,2,Sales Executive,Low,Single,5405,11924,8,Y,No,14,Excellent,Very High,80,0,10,1,Better,2,2,2,2
537,27,No,Travel_Frequently,294,Research & Development,10,College,Life Sciences,1,733,Very High,Male,32,High,3,Manufacturing Director,Low,Divorced,8793,4809,1,Y,No,21,Outstanding,High,80,2,9,4,Good,9,7,1,7
539,50,No,Travel_Rarely,316,Sales,8,Master,Marketing,1,738,Very High,Male,54,High,1,Sales Representative,Medium,Married,3875,9983,7,Y,No,15,Excellent,Very High,80,1,4,2,Better,2,2,2,2
540,28,Yes,Travel_Rarely,654,Research & Development,1,College,Life Sciences,1,741,Low,Female,67,Low,1,Research Scientist,Medium,Single,2216,3872,7,Y,Yes,13,Excellent,Very High,80,0,10,4,Better,7,7,3,7
542,38,No,Travel_Rarely,168,Research & Development,1,Bachelor,Life Sciences,1,743,High,Female,81,High,3,Manufacturing Director,High,Single,7861,15397,4,Y,Yes,14,Excellent,Very High,80,0,10,4,Best,1,0,0,0
545,30,No,Travel_Rarely,501,Sales,27,Doctor,Marketing,1,747,High,Male,99,High,2,Sales Executive,Very High,Divorced,5304,25275,7,Y,No,23,Outstanding,Very High,80,1,10,2,Good,8,7,7,7
547,42,Yes,Travel_Frequently,933,Research & Development,19,Bachelor,Medical,1,752,High,Male,57,Very High,1,Research Scientist,High,Divorced,2759,20366,6,Y,Yes,12,Excellent,Very High,80,0,7,2,Better,2,2,2,2
549,34,No,Travel_Rarely,970,Research & Development,8,College,Medical,1,757,Medium,Female,96,High,2,Healthcare Representative,High,Single,6142,7360,3,Y,No,11,Excellent,Very High,80,0,10,2,Better,5,1,4,3
550,23,No,Travel_Rarely,650,Research & Development,9,Below College,Medical,1,758,Medium,Male,37,High,1,Laboratory Technician,Low,Married,2500,4344,1,Y,No,14,Excellent,Very High,80,1,5,2,Best,4,3,0,2
553,40,No,Travel_Rarely,804,Research & Development,2,Below College,Medical,1,763,Very High,Female,86,Medium,1,Research Scientist,Very High,Single,2342,22929,0,Y,Yes,20,Outstanding,Very High,80,0,5,2,Good,4,2,2,3
554,27,No,Travel_Rarely,975,Research & Development,7,Bachelor,Medical,1,764,Very High,Female,55,Medium,2,Healthcare Representative,Low,Single,6811,23398,8,Y,No,19,Excellent,Low,80,0,9,2,Bad,7,6,0,7
555,29,No,Travel_Rarely,1090,Sales,10,Bachelor,Marketing,1,766,Very High,Male,83,High,1,Sales Representative,Medium,Divorced,2297,17967,1,Y,No,14,Excellent,Very High,80,2,2,2,Better,2,2,2,2
556,53,No,Travel_Rarely,346,Research & Development,6,Bachelor,Life Sciences,1,769,Very High,Male,86,High,2,Laboratory Technician,Very High,Single,2450,10919,2,Y,No,17,Excellent,Very High,80,0,19,4,Better,2,2,2,2
557,35,No,Non-Travel,1225,Research & Development,2,Master,Life Sciences,1,771,Very High,Female,61,High,2,Healthcare Representative,Low,Divorced,5093,4761,2,Y,No,11,Excellent,Low,80,1,16,2,Best,1,0,0,0
558,32,No,Travel_Frequently,430,Research & Development,24,Master,Life Sciences,1,772,Low,Male,80,High,2,Laboratory Technician,Very High,Married,5309,21146,1,Y,No,15,Excellent,Very High,80,2,10,2,Better,10,8,4,7
560,34,No,Travel_Rarely,167,Research & Development,8,Doctor,Life Sciences,1,775,Medium,Female,32,High,2,Manufacturing Director,Low,Divorced,5121,4187,3,Y,No,14,Excellent,High,80,1,7,3,Better,0,0,0,0
562,33,Yes,Travel_Rarely,527,Research & Development,1,Master,Other,1,780,Very High,Male,63,High,1,Research Scientist,Very High,Single,2686,5207,1,Y,Yes,13,Excellent,High,80,0,10,2,Good,10,9,7,8
564,45,No,Travel_Rarely,954,Sales,2,College,Technical Degree,1,783,Medium,Male,46,Low,2,Sales Representative,High,Single,6632,12388,0,Y,No,13,Excellent,Low,80,0,9,3,Better,8,7,3,1
565,23,No,Travel_Rarely,310,Research & Development,10,Below College,Medical,1,784,Low,Male,79,Very High,1,Research Scientist,High,Single,3505,19630,1,Y,No,18,Excellent,Very High,80,0,2,3,Better,2,2,0,2
566,47,Yes,Travel_Frequently,719,Sales,27,College,Life Sciences,1,785,Medium,Female,77,Very High,2,Sales Executive,High,Single,6397,10339,4,Y,Yes,12,Excellent,Very High,80,0,8,2,Better,5,4,1,3
569,36,No,Non-Travel,1434,Sales,8,Master,Life Sciences,1,789,Low,Male,76,Medium,3,Sales Executive,Low,Single,7587,14229,1,Y,No,15,Excellent,Medium,80,0,10,1,Better,10,7,0,9
570,52,No,Non-Travel,715,Research & Development,19,Master,Medical,1,791,Very High,Male,41,High,1,Research Scientist,Very High,Married,4258,26589,0,Y,No,18,Excellent,Low,80,1,5,3,Better,4,3,1,2
571,26,No,Travel_Frequently,575,Research & Development,1,College,Life Sciences,1,792,Low,Female,71,Low,1,Laboratory Technician,Very High,Divorced,4364,5288,3,Y,No,14,Excellent,Low,80,1,5,2,Better,2,2,2,0
572,29,No,Travel_Rarely,657,Research & Development,27,Bachelor,Medical,1,793,Medium,Female,66,High,2,Healthcare Representative,High,Married,4335,25549,4,Y,No,12,Excellent,Low,80,1,11,3,Good,8,7,1,1
573,26,Yes,Travel_Rarely,1146,Sales,8,Bachelor,Technical Degree,1,796,Very High,Male,38,Medium,2,Sales Executive,Low,Single,5326,3064,6,Y,No,17,Excellent,High,80,0,6,2,Good,4,3,1,2
574,34,No,Travel_Rarely,182,Research & Development,1,Master,Life Sciences,1,797,Medium,Female,72,Very High,1,Research Scientist,Very High,Single,3280,13551,2,Y,No,16,Excellent,High,80,0,10,2,Better,4,2,1,3
576,27,No,Travel_Frequently,829,Sales,8,Below College,Marketing,1,800,High,Male,84,High,2,Sales Executive,Very High,Married,4342,24008,0,Y,No,19,Excellent,Medium,80,1,5,3,Better,4,2,1,1
577,37,No,Travel_Rarely,571,Research & Development,10,Below College,Life Sciences,1,802,Very High,Female,82,High,1,Research Scientist,Low,Divorced,2782,19905,0,Y,Yes,13,Excellent,Medium,80,2,6,3,Good,5,3,4,3
578,38,No,Travel_Frequently,240,Research & Development,2,Master,Life Sciences,1,803,Low,Female,75,Very High,2,Manufacturing Director,Low,Single,5980,26085,6,Y,Yes,12,Excellent,Very High,80,0,17,2,Better,15,7,4,12
579,34,No,Travel_Rarely,121,Research & Development,2,Master,Medical,1,804,High,Female,86,Medium,1,Research Scientist,Low,Single,4381,7530,1,Y,No,11,Excellent,High,80,0,6,3,Better,6,5,1,3
580,35,No,Travel_Rarely,384,Sales,8,Master,Life Sciences,1,805,Low,Female,72,High,1,Sales Representative,Very High,Married,2572,20317,1,Y,No,16,Excellent,Medium,80,1,3,1,Good,3,2,0,2
581,30,No,Travel_Rarely,921,Research & Development,1,Bachelor,Life Sciences,1,806,Very High,Male,38,Low,1,Laboratory Technician,High,Married,3833,24375,3,Y,No,21,Outstanding,High,80,2,7,2,Better,2,2,0,2
582,40,No,Travel_Frequently,791,Research & Development,2,College,Medical,1,807,High,Female,38,Very High,2,Healthcare Representative,Medium,Married,4244,9931,1,Y,No,24,Outstanding,Very High,80,1,8,2,Better,8,7,3,7
583,34,No,Travel_Rarely,1111,Sales,8,College,Life Sciences,1,808,High,Female,93,High,2,Sales Executive,Low,Married,6500,13305,5,Y,No,17,Excellent,Medium,80,1,6,1,Better,3,2,1,2
585,23,Yes,Travel_Rarely,1243,Research & Development,6,Bachelor,Life Sciences,1,811,High,Male,63,Very High,1,Laboratory Technician,Low,Married,1601,3445,1,Y,Yes,21,Outstanding,High,80,2,1,2,Better,0,0,0,0
587,52,No,Travel_Rarely,1325,Research & Development,11,Master,Life Sciences,1,813,Very High,Female,82,High,2,Laboratory Technician,High,Married,3149,21821,8,Y,No,20,Outstanding,Medium,80,1,9,3,Better,5,2,1,4
589,29,Yes,Travel_Rarely,805,Research & Development,1,College,Life Sciences,1,816,Medium,Female,36,Medium,1,Laboratory Technician,Low,Married,2319,6689,1,Y,Yes,11,Excellent,Very High,80,1,1,1,Better,1,0,0,0
591,33,Yes,Travel_Rarely,118,Sales,16,Bachelor,Marketing,1,819,Low,Female,69,High,2,Sales Executive,Low,Single,5324,26507,5,Y,No,15,Excellent,High,80,0,6,3,Better,3,2,0,2
593,36,No,Travel_Rarely,676,Research & Development,1,Bachelor,Other,1,823,High,Female,35,High,2,Manufacturing Director,Medium,Married,5228,23361,0,Y,No,15,Excellent,Low,80,1,10,2,Better,9,7,0,5
594,29,No,Travel_Rarely,1252,Research & Development,23,College,Life Sciences,1,824,High,Male,81,Very High,1,Research Scientist,High,Married,2700,23779,1,Y,No,24,Outstanding,High,80,1,10,3,Better,10,7,0,7
598,28,Yes,Travel_Rarely,890,Research & Development,2,Master,Medical,1,828,High,Male,46,High,1,Research Scientist,High,Single,4382,16374,6,Y,No,17,Excellent,Very High,80,0,5,3,Good,2,2,2,1
599,36,No,Travel_Rarely,1041,Human Resources,13,Bachelor,Human Resources,1,829,High,Male,36,High,1,Human Resources,Medium,Married,2143,25527,4,Y,No,13,Excellent,Medium,80,1,8,2,Better,5,2,0,4
600,32,No,Travel_Rarely,859,Research & Development,4,Bachelor,Life Sciences,1,830,High,Female,98,Medium,2,Manufacturing Director,High,Married,6162,19124,1,Y,No,12,Excellent,High,80,1,14,3,Better,14,13,6,8
602,30,No,Travel_Rarely,946,Research & Development,2,Bachelor,Medical,1,833,High,Female,52,Medium,2,Manufacturing Director,Very High,Single,6877,20234,5,Y,Yes,24,Outstanding,Medium,80,0,12,4,Good,0,0,0,0
603,45,No,Travel_Rarely,252,Research & Development,2,Bachelor,Life Sciences,1,834,Medium,Female,95,Medium,1,Research Scientist,High,Single,2274,6153,1,Y,No,14,Excellent,Very High,80,0,1,3,Better,1,0,0,0
